0.483	0.22637	0.022	0.12971	40
0.483	0.22662	0.022	0.13062	40
0.483	0.22687	0.022	0.13153	40
0.483	0.22712	0.022	0.13244	40
0.483	0.22712	0.022	0.13334	40
0.483	0.22712	0.022	0.13424	40
0.483	0.22737	0.022	0.13514	40
0.483	0.22737	0.022	0.13604	40
0.483	0.22762	0.022	0.13695	40
0.483	0.22762	0.022	0.13785	40
0.483	0.22787	0.022	0.13876	40
0.483	0.22787	0.022	0.13965	40
0.483	0.22812	0.022	0.14056	40
0.483	0.22812	0.022	0.14146	40
0.483	0.22812	0.022	0.14235	40
0.483	0.22837	0.022	0.14326	40
0.483	0.32642	0.022	0.16769	-13
0.483	0.33429	0.022	0.16656	-17
0.483	0.34015	0.022	0.16558	-20
0.483	0.23487	0.022	0.15588	40
0.483	0.34665	0.022	0.1764	-20
0.483	0.34129	0.022	0.17916	-17
0.483	0.33965	0.022	0.18061	-16
0.483	0.338	0.022	0.18203	-15
0.483	0.33634	0.022	0.18341	-14
0.483	0.33467	0.022	0.18476	-13
0.483	0.33299	0.022	0.18607	-12
0.483	0.33131	0.022	0.18735	-11
0.483	0.32573	0.022	0.18921	-8
0.483	0.32181	0.022	0.19057	-6
0.483	0.31616	0.022	0.19192	-3
0.483	0.31222	0.022	0.19294	-1
0.483	0.31025	0.022	0.19385	0
0.483	0.30631	0.022	0.19466	2
0.483	0.30237	0.022	0.19534	4
0.483	0.29623	0.022	0.19566	7
0.483	0.29427	0.022	0.19629	8
0.483	0.28819	0.022	0.1962	11
0.483	0.28025	0.022	0.19531	15
0.483	0.27246	0.022	0.1939	19
0.483	0.26667	0.022	0.19271	22
0.483	0.2572	0.022	0.18952	27
0.483	0.24294	0.022	0.1823	35
